Artist ID,Name,Nationality,Gender,Birth Year,Death Year
312,"Ralph Bartholomew, Jr.",American,Male,1907,1985
313,Jennifer Bartlett,American,Female,1941,
314,Robert Bartlett,British,Male,1922,1979
315,Carlo Bartoli,Italian,Male,1931,
316,Luigi Bartolini,Italian,Male,1892,1963
317,Joseph Bartscherer,American,Male,1954,
318,Gianfranco Baruchello,Italian,Male,1924,
319,Héctor Basaldua,Argentine,Male,1895,1976
320,Bernard Baschet,French,Male,1917,2015
321,François Baschet,French,Male,1920,2014
322,Georg Baselitz,German,Male,1938,
323,Mati Basis,Israeli,Male,1933,
324,Leonard Baskin,American,Male,1922,2000
325,Jean-Michel Basquiat,American,Male,1960,1988
326,Joel Bass,American,Male,1943,
327,Saul Bass,American,Male,1920,1996
328,Giampiero Bassi,Italian,,1926,
329,Miriam Bat-Yosef,German,Female,1931,
330,Josef Bato,Hungarian,Male,1888,1966
331,John Battan,American,Male,1943,1976
332,Wall Batterton,British,Male,1932,
333,Dora M. Batty,British,Female,1900,1966
334,Eugen Batz,German,Male,1905,1986
335,"Harry W. Batz, Jr.",American,Male,,
336,André Bauchant,French,Male,1873,1958
337,Karl Bauer,German,Male,1868,1942
338,Rudolph Bauer,American,Male,1889,1954
339,Mary Bauermeister,American,Female,1934,
340,Bauhaus,German,,,
341,Marilyn Baum,American,Female,1939,
342,Hans Theo Baumann,German,Male,1924,
343,Otto Baumberger,Swiss,Male,1889,1961
344,Willi Baumeister,German,Male,1889,1955
345,Lothar Baumgarten,German,Male,1944,
346,Edward Bawden,British,Male,1903,1989
347,Glen Baxter,British,Male,,
348,Iain Baxter&,Canadian,Male,1936,
349,Hippolyte Bayard,French,Male,1801,1887
350,Herbert Bayer,American,Male,1900,1985
351,Ed Baynard,American,Male,1940,
352,Thomas Bayrle,German,Male,1937,
353,Douglas Baz,American,Male,1943,
354,Jean Bazaine,French,Male,1904,2001
355,Castera Bazile,Haitian,Male,1923,1966
356,William Baziotes,American,Male,1912,1963
357,Gifford Beal,American,Male,1879,1956
358,Jack Beal,American,Male,1931,2013
359,Lester Beall,American,Male,1903,1969
360,Mark Beard,American,Male,1956,
361,Romare Bearden,American,Male,1911,1988
362,Aubrey Beardsley,British,Male,1872,1898
363,Bruce Beasley,American,Male,1939,
364,Beath,British,,1913,1991
365,Felice Beato,Italian,Male,1825,1903
366,Cecil Beaton,British,Male,1904,1980
367,Leslie Beaton,American,Female,,
368,Robert Beauchamp,American,Male,1923,1995
369,André Beaudin,French,Male,1895,1975
370,Alessandro Becchi,Italian,Male,1946,
371,Bernd Becher,German,Male,1931,2007
372,Thelma Becherer,American,Female,1916,2008
373,Robert Bechtle,American,Male,1932,
374,Gustav K. Beck,Austrian,Male,1902,1983
375,A. Becker,German,,,
376,Fred Becker,American,Male,1913,2004
377,Bill Beckley,American,Male,1946,
378,Max Beckmann,German,Male,1884,1950
379,Francis Bedford,British,Male,1816,1894
380,René Beeh,German,Male,1886,1922
381,Jan Bontjes van Beek,German,Male,1899,1969
382,Chris Hendrik Beekman,Dutch,Male,1887,1964
383,Max Beerbohm,British,Male,1872,1956
384,Hedda Beese,German,Female,1944,
385,"Beggarstaffs (James Pryde, Scottish 1866-1941 & William Nicholson, British 1872-1949)",British,,1866,1949
